NACA,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
3111,8,1.119,0.01866,0.01121,-0.0287,0.1391,1
3111,9,1.2175,0.0213,0.01407,-0.0277,0.1372,1
3111,10,1.3127,0.0235,0.01661,-0.0262,0.1352,1
3121,1,0.3682,0.01049,0.00416,-0.0251,0.4337,0.6992
3121,2,0.4623,0.01084,0.0046,-0.0211,0.3829,0.7924
3121,3,0.5516,0.01154,0.00528,-0.0162,0.3295,0.8717
3121,4,0.6332,0.01272,0.00621,-0.0101,0.2678,0.9302
3121,5,0.7299,0.01479,0.0078,-0.0084,0.1983,0.9716
3121,6,0.8641,0.01701,0.00972,-0.0156,0.1703,0.9913
3121,7,0.9451,0.01893,0.0115,-0.0134,0.1609,1
3121,8,0.9704,0.02043,0.01305,-0.0003,0.1574,1
3121,9,1.0248,0.02285,0.01549,0.006,0.1538,1
3121,10,1.0811,0.0261,0.0187,0.0104,0.1503,1
3131,0,0.1597,0.01368,0.00661,-0.0028,0.4582,0.5318
3131,1,0.2324,0.01408,0.007,0.004,0.4314,0.5646
3131,2,0.3097,0.0146,0.00759,0.0094,0.4051,0.6005
3131,3,0.3891,0.01536,0.00838,0.0139,0.3812,0.6392
3131,4,0.467,0.01636,0.00949,0.018,0.3589,0.6833
3131,5,0.5416,0.01771,0.01095,0.022,0.3371,0.7315
3131,6,0.6109,0.01953,0.0129,0.0261,0.3153,0.7855
3131,7,0.6766,0.02176,0.01535,0.0301,0.2942,0.8451
3131,8,0.7302,0.02479,0.01853,0.0352,0.273,0.9082
3131,9,0.7815,0.02916,0.02292,0.0388,0.2514,0.9619
3131,10,0.8654,0.03537,0.02906,0.0324,0.2263,0.987
3211,0,0.3032,0.00727,0.00209,-0.0506,0.6122,0.7556
3211,1,0.4579,0.00784,0.00235,-0.0586,0.4723,1
3211,2,0.5504,0.00879,0.00257,-0.0551,0.3609,1
3211,3,0.6468,0.00963,0.00303,-0.0522,0.3151,1
3211,4,0.7465,0.01048,0.00367,-0.05,0.2942,1
3211,5,0.8492,0.01131,0.00445,-0.0484,0.2805,1
3211,6,0.9526,0.01223,0.00541,-0.0472,0.2689,1
3211,7,1.0553,0.01333,0.00658,-0.046,0.2577,1
3211,8,1.1565,0.01431,0.0077,-0.0447,0.2425,1
3211,9,1.2555,0.01501,0.00858,-0.0431,0.2214,1
3211,10,1.3527,0.01578,0.00961,-0.0414,0.1966,1
3221,0,0.2746,0.01024,0.00389,-0.0402,0.4807,0.6513
3221,1,0.3697,0.01055,0.00418,-0.0365,0.4252,0.7296
3221,2,0.4621,0.01105,0.00468,-0.0322,0.3732,0.814
3221,3,0.5506,0.01184,0.00539,-0.0272,0.3332,0.8849
3221,4,0.6358,0.0129,0.00633,-0.0216,0.3094,0.9442
3221,5,0.7625,0.01426,0.00754,-0.0252,0.2929,0.9774
3221,6,0.9194,0.01559,0.00879,-0.0358,0.2813,0.9914
3221,7,1.0393,0.01687,0.00995,-0.0396,0.2722,1
3221,8,1.0659,0.01753,0.01066,-0.0249,0.2664,1
3221,9,1.1327,0.01888,0.01193,-0.0183,0.2597,1
3221,10,1.211,0.02045,0.01359,-0.0145,0.2538,1
3231,0,0.1381,0.01387,0.00676,-0.0102,0.4425,0.534
3231,2,0.289,0.01516,0.008,0.0012,0.3862,0.605
3231,3,0.3662,0.01615,0.00902,0.0057,0.3598,0.6434
3231,4,0.4391,0.01755,0.01041,0.0101,0.3359,0.6857
3231,5,0.5126,0.0192,0.01212,0.014,0.3174,0.7357
3231,6,0.5877,0.02096,0.01408,0.0172,0.3035,0.7926
3231,7,0.6607,0.02295,0.0163,0.0205,0.2931,0.855
3231,8,0.7287,0.0252,0.01862,0.025,0.2841,0.9191
3231,9,0.8097,0.02804,0.02159,0.0258,0.2777,0.9703
3231,10,0.9353,0.0313,0.02473,0.0171,0.2709,0.989
3311,0,0.3262,0.00665,0.00217,-0.0631,0.6746,0.9619
3311,1,0.4702,0.00726,0.00215,-0.07,0.5782,1
3311,2,0.5669,0.00794,0.00233,-0.067,0.5003,1
3311,3,0.6669,0.00864,0.00272,-0.0646,0.4502,1
3311,4,0.7703,0.00934,0.00326,-0.063,0.4169,1
3311,5,0.8745,0.01013,0.00395,-0.0617,0.3891,1
3311,6,0.9784,0.01082,0.00467,-0.0604,0.3553,1
3311,7,1.0812,0.01156,0.00547,-0.0591,0.3167,1
3311,8,1.1793,0.01262,0.00646,-0.0571,0.2522,1
3311,9,1.2551,0.01564,0.00878,-0.0524,0.1163,1
3311,10,1.3183,0.01925,0.01207,-0.0459,0.0516,1
3321,0,0.2899,0.01025,0.0039,-0.053,0.5007,0.6427
3321,1,0.389,0.01052,0.00418,-0.0501,0.4641,0.721
3321,2,0.4879,0.01083,0.00463,-0.047,0.4364,0.8031
3321,3,0.5847,0.01134,0.00523,-0.0433,0.4154,0.8841
3321,4,0.6865,0.01216,0.00606,-0.0405,0.3983,0.9475
3321,5,0.8239,0.01323,0.00701,-0.0461,0.382,0.9772
3321,6,0.9835,0.01436,0.00802,-0.057,0.3661,0.9911
3321,7,1.1157,0.01533,0.00887,-0.0628,0.3508,1
3321,8,1.1297,0.01562,0.00925,-0.0447,0.3403,1
3321,9,1.1905,0.01662,0.01026,-0.0363,0.3275,1
3321,10,1.262,0.01798,0.01163,-0.0309,0.3134,1
3331,0,0.1407,0.01405,0.00687,-0.0213,0.4491,0.5241
3331,1,0.2258,0.01455,0.00733,-0.0171,0.4301,0.5613
3331,2,0.3149,0.01516,0.00794,-0.0138,0.4133,0.5996
3331,3,0.4042,0.01578,0.00868,-0.011,0.401,0.6398
3331,4,0.4972,0.01654,0.00958,-0.009,0.3896,0.6869
3331,5,0.5857,0.01743,0.01063,-0.0065,0.379,0.741
3331,6,0.6749,0.01851,0.01191,-0.0043,0.3693,0.7963
3331,7,0.7585,0.01975,0.01332,-0.0014,0.3599,0.8572
3331,8,0.8336,0.02139,0.01518,0.0029,0.3513,0.9202
3331,9,0.9216,0.02345,0.01723,0.004,0.3422,0.9705
3331,10,1.0473,0.02642,0.02025,-0.0043,0.3327,0.9894
3401,0,0.3414,0.00697,0.00053,-0.0792,0.8802,0.0111
3411,0,0.3546,0.00641,0.00216,-0.0774,0.7404,0.9618
3411,1,0.4889,0.00678,0.00209,-0.082,0.6753,1
3411,2,0.5896,0.00729,0.00224,-0.0796,0.6136,1
3411,3,0.693,0.00788,0.00258,-0.0777,0.5599,1
3411,4,0.7971,0.00854,0.00307,-0.0761,0.5095,1
3411,5,0.8999,0.00929,0.00367,-0.0744,0.4522,1
3411,6,1.0008,0.01018,0.00443,-0.0725,0.3806,1
3411,8,1.1665,0.01504,0.00795,-0.064,0.1051,1
3411,9,1.2373,0.01808,0.01073,-0.058,0.0528,1
3411,10,1.2965,0.02105,0.01381,-0.0503,0.0382,1
3421,0,0.3282,0.01027,0.00383,-0.0695,0.5657,0.5512
3421,2,0.5303,0.01042,0.00442,-0.0644,0.5117,0.7602
3421,3,0.6292,0.0107,0.00492,-0.0611,0.4882,0.8544
3421,4,0.728,0.01129,0.00559,-0.0576,0.4658,0.933
3421,5,0.8588,0.01221,0.00641,-0.0615,0.4419,0.9778
3421,6,1.0323,0.01335,0.00738,-0.0751,0.4152,0.996
3421,7,1.0785,0.01375,0.00777,-0.0633,0.3938,1
3421,8,1.1232,0.0145,0.00849,-0.0512,0.371,1
3421,9,1.1887,0.01589,0.0098,-0.0442,0.3457,1
3421,10,1.2561,0.01771,0.01162,-0.0385,0.3194,1
3431,0,0.2067,0.01409,0.00669,-0.043,0.502,0.4303
3431,1,0.2926,0.01425,0.00694,-0.0387,0.4851,0.4837
3431,2,0.3754,0.01451,0.0074,-0.034,0.47,0.5413
3431,3,0.4635,0.01497,0.00805,-0.0306,0.4551,0.5974
3431,4,0.5536,0.0156,0.00882,-0.0278,0.4405,0.652
3431,5,0.6419,0.01638,0.00972,-0.025,0.4256,0.7077
3431,6,0.72,0.01742,0.01105,-0.0209,0.4119,0.7693
3431,7,0.7969,0.01873,0.0126,-0.0168,0.3979,0.8398
3431,8,0.8647,0.0204,0.01446,-0.011,0.3841,0.9164
3431,9,0.9544,0.02277,0.01681,-0.0106,0.3692,0.9754
3431,10,1.0816,0.02622,0.02025,-0.02,0.3538,0.995
4011,0,0.4351,0.00709,0.00244,-0.0382,0.6158,0.9972
4011,1,0.5385,0.00783,0.00265,-0.0371,0.4864,1
4011,2,0.6296,0.00893,0.00319,-0.0336,0.345,1
4011,3,0.7186,0.01054,0.00412,-0.0301,0.1958,1
4011,4,0.8088,0.01245,0.00551,-0.0271,0.0917,1
4011,5,0.9008,0.01443,0.00735,-0.0244,0.0551,1
4011,6,0.9892,0.01677,0.00976,-0.0215,0.0403,1
4011,7,1.0724,0.01947,0.01262,-0.0181,0.0323,1
4011,8,1.1466,0.02283,0.01621,-0.0139,0.0272,1
4011,9,1.207,0.02714,0.0208,-0.0085,0.0239,1
4011,10,1.2508,0.03141,0.02544,-0.0016,0.0214,1
4021,0,0.3547,0.01007,0.00392,-0.02,0.4983,0.7025
4021,1,0.4544,0.01035,0.00431,-0.0173,0.4552,0.7699
4021,2,0.5514,0.01079,0.00486,-0.0141,0.4135,0.8377
4021,3,0.6441,0.01149,0.00561,-0.01,0.3733,0.8998
4021,5,0.8663,0.01394,0.00786,-0.0113,0.2925,0.9785
4021,6,1.0104,0.01561,0.00934,-0.0205,0.2508,0.9938
4021,7,1.0639,0.01684,0.01048,-0.0125,0.2218,1.0001
4021,8,1.0872,0.01851,0.01208,0.0008,0.1982,1.0001
4021,9,1.136,0.02118,0.01468,0.0074,0.1743,1.0001
4021,10,1.1875,0.0246,0.01812,0.0118,0.1535,1.0001
4031,0,0.2321,0.0138,0.00664,0.0059,0.4472,0.5473
4031,1,0.3107,0.01419,0.00713,0.0113,0.4242,0.5822
4031,2,0.3914,0.01479,0.00781,0.0159,0.4021,0.6202
4031,3,0.4721,0.01558,0.0087,0.0198,0.381,0.6613
4031,4,0.5512,0.01661,0.00988,0.0235,0.3608,0.7078
4031,5,0.6274,0.01793,0.01139,0.027,0.3416,0.7593
4031,6,0.6994,0.0196,0.01327,0.0306,0.3234,0.8162
4031,7,0.7649,0.02173,0.01561,0.0346,0.3062,0.8773
4031,8,0.8218,0.02451,0.01856,0.0396,0.29,0.9368
4031,9,0.9032,0.02833,0.0224,0.0378,0.2735,0.9767
4031,10,1.0106,0.03326,0.0273,0.0284,0.2566,0.9919
4111,0,0.3804,0.01861,0.00971,-0.0515,0.1684,0.0319
4121,0,0.3959,0.01409,0.00569,-0.0439,0.4366,0.0584
4121,1,0.4856,0.01395,0.00531,-0.0396,0.3807,0.0686
4121,3,0.6169,0.01296,0.00607,-0.0229,0.2393,0.8293
4121,4,0.683,0.01495,0.00785,-0.0142,0.1766,0.9569
4121,5,0.8355,0.01748,0.01007,-0.0247,0.1593,0.9934
4121,6,0.9,0.01888,0.01142,-0.0188,0.1542,1
4121,7,0.9333,0.02087,0.01334,-0.0077,0.1507,1
4121,8,0.9874,0.02377,0.0162,-0.0019,0.1479,1
4121,9,1.0521,0.02666,0.01915,0.0014,0.1463,1
4121,10,1.1154,0.02996,0.02251,0.0041,0.1448,1
4131,0,0.2228,0.01415,0.00703,-0.0064,0.4424,0.5119
4131,1,0.2975,0.01462,0.00757,-0.0004,0.4155,0.5592
4131,2,0.3742,0.01535,0.00836,0.0047,0.3901,0.6071
4131,3,0.4504,0.01633,0.00945,0.0092,0.3669,0.6603
4131,4,0.5246,0.01768,0.01089,0.0133,0.3442,0.7109
4131,5,0.5978,0.01933,0.01272,0.0169,0.322,0.7656
4131,6,0.6625,0.02159,0.01515,0.021,0.2991,0.8277
4131,7,0.714,0.02474,0.01844,0.0263,0.2764,0.8949
4131,8,0.7634,0.02886,0.02261,0.0307,0.2518,0.9582
4131,9,0.8395,0.03554,0.02916,0.0251,0.2212,0.9877
4131,10,0.9136,0.0443,0.03781,0.0161,0.1915,0.9993
4211,0,0.4104,0.01054,0.00273,-0.068,0.4956,0.0798
4211,1,0.512,0.011,0.00266,-0.0663,0.3587,0.1603
4211,2,0.6252,0.00975,0.00312,-0.0671,0.3095,1
4211,3,0.7278,0.01052,0.00361,-0.0655,0.2914,1
4211,4,0.831,0.01143,0.00431,-0.0641,0.2799,1
4211,5,0.9358,0.01224,0.00512,-0.0631,0.2717,1
4211,6,1.0387,0.0135,0.00628,-0.062,0.2638,1
4211,7,1.1426,0.01445,0.0074,-0.0612,0.2575,1
4211,8,1.2449,0.01576,0.00878,-0.0603,0.2502,1
4211,9,1.3456,0.01715,0.01046,-0.0594,0.2433,1
4211,10,1.4369,0.01783,0.01136,-0.0569,0.2268,1
4221,0,0.3652,0.01095,0.00423,-0.0538,0.4332,0.5973
4221,1,0.452,0.01128,0.00466,-0.0486,0.3737,0.7264
4221,2,0.5366,0.01195,0.00536,-0.043,0.3285,0.8349
4221,3,0.6167,0.01283,0.00627,-0.036,0.3052,0.9287
4221,5,0.9013,0.01587,0.00887,-0.0506,0.2788,0.9952
4221,6,0.9678,0.01659,0.00958,-0.0438,0.2735,1
4221,7,1.0219,0.01761,0.01052,-0.0345,0.2678,1
4221,8,1.1052,0.01915,0.01197,-0.0311,0.2624,1
4221,9,1.1857,0.02063,0.01355,-0.0278,0.2581,1
4221,10,1.2682,0.02236,0.01532,-0.0253,0.2536,1
4231,0,0.1946,0.01455,0.00737,-0.0167,0.4215,0.536
4231,1,0.2717,0.01526,0.00809,-0.0115,0.3916,0.5729
4231,2,0.3439,0.01641,0.0092,-0.0063,0.3619,0.616
4231,3,0.4165,0.01781,0.01066,-0.0017,0.3352,0.6655
4231,4,0.486,0.01965,0.01253,0.0025,0.3144,0.7156
4231,5,0.5593,0.02157,0.0146,0.0058,0.3003,0.7732
4231,6,0.6319,0.02365,0.0169,0.0091,0.2904,0.8403
4231,7,0.6974,0.02603,0.01938,0.0136,0.2818,0.9127
4231,8,0.7796,0.02882,0.02228,0.0144,0.2764,0.9719
4231,9,0.9067,0.0323,0.02567,0.0049,0.2705,0.991
4231,10,1.0335,0.03534,0.02862,-0.0043,0.2654,1
4311,0,0.4272,0.00743,0.00222,-0.084,0.6149,0.7737
4311,1,0.5521,0.00776,0.00233,-0.0861,0.5253,1
4311,2,0.6537,0.00852,0.0026,-0.0841,0.4658,1
4311,3,0.7586,0.00924,0.00304,-0.0829,0.4316,1
4311,4,0.8642,0.01001,0.00363,-0.0819,0.4088,1
4311,5,0.9703,0.01081,0.00438,-0.0811,0.3904,1
4311,6,1.0758,0.01161,0.00525,-0.0803,0.373,1
4311,7,1.1779,0.01235,0.00605,-0.0789,0.3469,1
4311,8,1.2774,0.01309,0.00693,-0.0773,0.316,1
4311,9,1.3727,0.014,0.00796,-0.075,0.2684,1
4311,10,1.434,0.01732,0.01061,-0.0682,0.1353,1
4321,0,0.3839,0.0108,0.00422,-0.0704,0.4733,0.6214
4321,1,0.4795,0.01099,0.0046,-0.0668,0.443,0.7373
4321,2,0.5746,0.01137,0.00515,-0.0629,0.422,0.8429
4321,3,0.6712,0.01203,0.00589,-0.0591,0.4062,0.9333
4321,4,0.8191,0.01323,0.00693,-0.0666,0.3918,0.9802
4321,5,0.9849,0.0144,0.00788,-0.0788,0.378,0.9956
4321,6,1.0501,0.01481,0.00831,-0.071,0.3686,1
4321,7,1.1106,0.01561,0.009,-0.0619,0.3588,1
4321,8,1.1843,0.0165,0.00995,-0.056,0.3493,1
4321,9,1.2697,0.01779,0.01123,-0.0527,0.3391,1
4321,10,1.3464,0.01916,0.01266,-0.0486,0.3288,1
4331,0,0.2038,0.01477,0.00754,-0.0324,0.4348,0.5185
4331,1,0.2909,0.01535,0.00818,-0.0289,0.4186,0.5671
4331,2,0.3829,0.01612,0.00891,-0.0266,0.4052,0.6107
4331,3,0.4732,0.01687,0.00982,-0.0242,0.3946,0.6589
4331,4,0.5682,0.01776,0.01083,-0.0229,0.385,0.7108
4331,5,0.6559,0.01878,0.01208,-0.0206,0.3766,0.7731
4331,6,0.7484,0.01989,0.01334,-0.0188,0.3683,0.8451
4331,7,0.8205,0.02145,0.01518,-0.0139,0.361,0.9175
4331,8,0.9268,0.02308,0.01669,-0.0151,0.3528,0.9715
4331,9,1.0521,0.02606,0.01979,-0.0238,0.3456,0.9914
4331,10,1.1652,0.02826,0.02187,-0.0295,0.3378,1
4401,0,0.4474,0.00738,0.00102,-0.1039,0.8424,0.0126
4401,1,0.5313,0.00896,0.00118,-0.0992,0.0105,1
4411,0,0.4657,0.00669,0.00224,-0.1022,0.7107,0.9535
4411,1,0.5855,0.0071,0.00221,-0.1038,0.6532,1
4411,2,0.6911,0.00767,0.00242,-0.1024,0.6015,1
4411,3,0.7976,0.00829,0.00281,-0.1013,0.5586,1
4411,4,0.9037,0.00897,0.00334,-0.1002,0.522,1
4411,5,1.0086,0.00966,0.00399,-0.099,0.4838,1
4411,6,1.1096,0.01044,0.00471,-0.0971,0.4327,1
4411,7,1.2064,0.01144,0.00563,-0.0947,0.3666,1
4411,8,1.2847,0.01372,0.00734,-0.0895,0.2341,1
4411,9,1.3348,0.01771,0.01045,-0.0805,0.0866,1
4411,10,1.3762,0.02147,0.01407,-0.0703,0.0475,1
4421,0,0.4365,0.01085,0.00407,-0.0924,0.5574,0.471
4421,1,0.535,0.01068,0.00436,-0.0896,0.5328,0.6416
4421,2,0.6335,0.01077,0.00479,-0.0866,0.5115,0.7796
4421,3,0.7284,0.01112,0.00539,-0.0823,0.4921,0.9056
4421,4,0.8574,0.01195,0.00616,-0.0856,0.4726,0.9784
4421,5,1.0268,0.01293,0.00699,-0.0984,0.452,1
4421,6,1.0625,0.01329,0.0073,-0.084,0.4355,1
4421,7,1.1318,0.01408,0.00804,-0.0765,0.4175,1
4421,8,1.2086,0.01516,0.0091,-0.0711,0.3982,1
4421,9,1.2827,0.01656,0.01048,-0.066,0.3776,1
4421,10,1.3506,0.01847,0.01236,-0.0606,0.3556,1
4431,0,0.2892,0.01484,0.00717,-0.0602,0.4998,0.387
4431,1,0.3715,0.01496,0.00755,-0.0557,0.4865,0.4413
4431,2,0.4622,0.01526,0.00811,-0.0529,0.473,0.5188
4431,3,0.5585,0.01576,0.00872,-0.0512,0.459,0.5931
4431,4,0.6401,0.01647,0.00975,-0.0473,0.4471,0.6598
4431,5,0.7293,0.01736,0.01084,-0.0448,0.4347,0.728
4431,6,0.8122,0.01841,0.0121,-0.0415,0.4222,0.8047
4431,7,0.8797,0.01991,0.01396,-0.0357,0.4102,0.8963
4431,8,0.9677,0.02192,0.01603,-0.0343,0.3978,0.9743
4431,9,1.1121,0.02466,0.01865,-0.0456,0.3838,0.9991
4431,10,1.1282,0.02701,0.02104,-0.0345,0.3721,1
